,location,min_temp,max_temp,rainfall,records
0,Albury,-2.8,44.8,1.77,3040
1,BadgerysCreek,-3.0,46.4,2.01,3009
2,Cobar,-2.0,46.6,1.04,3009
3,CoffsHarbour,0.6,39.2,4.81,3009
4,Moree,-3.3,47.3,1.47,3009
5,Newcastle,2.2,44.1,2.96,3039
6,NorahHead,4.6,44.0,3.14,3004
7,NorfolkIsland,9.4,28.4,2.88,3009
8,Penrith,-1.1,46.9,1.99,3039
9,Richmond,-4.8,47.0,1.97,3009
10,Sydney,4.3,45.8,3.17,3344
11,SydneyAirport,3.2,46.4,2.86,3009
12,WaggaWagga,-4.7,45.2,1.58,3009
13,Williamtown,-1.8,45.5,2.92,3009
14,Wollongong,5.4,42.4,3.39,3040
15,Canberra,-8.0,42.0,1.62,3436
16,Tuggeranong,-8.2,41.1,2.02,3039
17,MountGinini,-8.5,31.1,2.99,3040
18,Ballarat,-5.6,44.1,1.56,3040
19,Bendigo,-4.0,45.4,1.49,3040
20,Sale,-3.9,44.4,1.35,3009
21,MelbourneAirport,-1.0,46.8,1.30,3009
22,Melbourne,1.4,46.4,1.30,3193
23,Mildura,-3.2,46.7,0.87,3009
24,Nhil,-2.3,45.3,0.82,1578
25,Portland,-1.5,42.5,2.29,3009
26,Watsonia,-2.1,46.7,1.68,3009
27,Dartmoor,-2.7,44.4,1.89,3009
28,Brisbane,2.6,38.9,2.98,3193
29,Cairns,9.2,38.6,5.47,3040
30,GoldCoast,4.9,37.9,3.55,3040
31,Townsville,6.4,38.3,3.37,3040
32,Adelaide,0.7,45.7,1.38,3193
33,MountGambier,-2.1,44.9,1.88,3040
34,Nuriootpa,-3.5,44.1,1.26,3009
35,Woomera,0.7,48.1,0.43,3009
36,Albany,1.8,39.0,2.07,3040
37,Witchcliffe,-0.7,40.6,2.66,3009
38,PearceRAAF,-1.9,45.4,1.44,3009
39,PerthAirport,-1.0,44.2,1.65,3009
40,Perth,-0.6,44.4,1.79,3193
41,SalmonGums,-4.4,46.3,0.90,3001
42,Walpole,2.6,39.4,2.53,3006
43,Hobart,-0.4,41.8,1.43,3193
44,Launceston,-3.5,39.0,1.88,3040
45,AliceSprings,-5.2,44.9,0.83,3040
46,Darwin,12.5,38.0,4.95,3193
47,Katherine,5.2,42.0,3.08,1578
48,Uluru,-1.9,44.4,0.70,1578
