,date,temp
0,2000-01-01,18.527
1,2000-02-01,22.095
2,2000-03-01,18.945
3,2000-04-01,14.839
4,2000-05-01,11.087
5,2000-06-01,9.239
6,2000-07-01,8.538
7,2000-08-01,9.23
8,2000-09-01,11.632
9,2000-10-01,12.44
10,2000-11-01,17.246
11,2000-12-01,18.023
12,2001-01-01,21.809
13,2001-02-01,22.045
14,2001-03-01,17.305
15,2001-04-01,14.092
16,2001-05-01,11.307
17,2001-06-01,10.367
18,2001-07-01,9.265
19,2001-08-01,9.866
20,2001-09-01,12.715
21,2001-10-01,12.365
22,2001-11-01,14.165
23,2001-12-01,14.859000000000002
24,2002-01-01,18.122
25,2002-02-01,18.245
26,2002-03-01,17.506
27,2002-04-01,15.515
28,2002-05-01,12.127
29,2002-06-01,9.65
30,2002-07-01,9.11
31,2002-08-01,9.465
32,2002-09-01,11.574000000000002
33,2002-10-01,13.374
34,2002-11-01,16.314
35,2002-12-01,17.908
36,2003-01-01,20.0
37,2003-02-01,19.916
38,2003-03-01,17.415
39,2003-04-01,14.474
40,2003-05-01,12.044
41,2003-06-01,9.864
42,2003-07-01,8.687999999999999
43,2003-08-01,8.767999999999999
44,2003-09-01,10.285
45,2003-10-01,11.049
46,2003-11-01,15.975
47,2003-12-01,19.349
48,2004-01-01,17.410999999999998
49,2004-02-01,19.396
50,2004-03-01,17.104
51,2004-04-01,14.69
52,2004-05-01,10.969
53,2004-06-01,9.461
54,2004-07-01,8.282
55,2004-08-01,9.727
56,2004-09-01,11.1
57,2004-10-01,13.708
58,2004-11-01,15.457
59,2004-12-01,17.6
60,2005-01-01,19.455
61,2005-02-01,17.541
62,2005-03-01,16.581
63,2005-04-01,16.546
64,2005-05-01,11.918
65,2005-06-01,10.146
66,2005-07-01,9.374
67,2005-08-01,9.95
68,2005-09-01,11.358
69,2005-10-01,13.911
70,2005-11-01,16.906
71,2005-12-01,18.856
72,2006-01-01,21.11
73,2006-02-01,18.94
74,2006-03-01,18.959
75,2006-04-01,12.664
76,2006-05-01,10.436
77,2006-06-01,8.023
78,2006-07-01,8.851
79,2006-08-01,9.88
80,2006-09-01,12.053
81,2006-10-01,13.601
82,2006-11-01,15.837
83,2006-12-01,17.539
84,2007-01-01,20.74
85,2007-02-01,22.224
86,2007-03-01,18.534
87,2007-04-01,15.526
88,2007-05-01,13.896999999999998
89,2007-06-01,8.427999999999999
90,2007-07-01,8.196
91,2007-08-01,10.462
92,2007-09-01,11.38
93,2007-10-01,13.724
94,2007-11-01,17.538
95,2007-12-01,19.253
96,2008-01-01,21.028
97,2008-02-01,18.456000000000003
98,2008-03-01,19.297
99,2008-04-01,13.781
100,2008-05-01,11.269
101,2008-06-01,10.686
102,2008-07-01,8.173
103,2008-08-01,8.435
104,2008-09-01,11.729
105,2008-10-01,14.236
106,2008-11-01,15.773
107,2008-12-01,16.464000000000002
108,2009-01-01,20.467
109,2009-02-01,20.577
110,2009-03-01,17.677999999999994
111,2009-04-01,13.98
112,2009-05-01,11.755
113,2009-06-01,9.368
114,2009-07-01,9.084
115,2009-08-01,10.54
116,2009-09-01,11.754
117,2009-10-01,12.84
118,2009-11-01,19.409
119,2009-12-01,18.317
120,2010-01-01,20.016
121,2010-02-01,21.407
122,2010-03-01,18.847
123,2010-04-01,16.024
124,2010-05-01,11.739999999999998
125,2010-06-01,8.767999999999999
126,2010-07-01,8.535
127,2010-08-01,8.684
128,2010-09-01,10.377
129,2010-10-01,13.149
130,2010-11-01,15.943
131,2010-12-01,17.29
132,2011-01-01,19.989
133,2011-02-01,18.838
134,2011-03-01,16.849
135,2011-04-01,14.076
136,2011-05-01,10.603
137,2011-06-01,9.511
138,2011-07-01,8.892000000000001
139,2011-08-01,10.592
140,2011-09-01,11.998
141,2011-10-01,13.849
142,2011-11-01,17.179000000000002
143,2011-12-01,17.915
144,2012-01-01,20.517
145,2012-02-01,20.22300000000001
146,2012-03-01,17.003999999999998
147,2012-04-01,14.807
148,2012-05-01,11.262
149,2012-06-01,9.017
150,2012-07-01,8.986
151,2012-08-01,9.303
152,2012-09-01,11.71
153,2012-10-01,13.263
154,2012-11-01,16.707
155,2012-12-01,18.425
156,2013-01-01,20.274
157,2013-02-01,21.516
158,2013-03-01,19.964
159,2013-04-01,14.762
160,2013-05-01,11.836
161,2013-06-01,9.365
162,2013-07-01,9.774
163,2013-08-01,10.441
164,2013-09-01,
