Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2010-01-01,Melbourne,19.2,20.8,10.6,15.4,0,NNE,63,SSE,S,11,15,91,77,1010.8,1009.2,8,8,19.2,19.7,Yes,Yes
2010-01-02,Melbourne,15.5,22.5,5,0.6,3.2,S,54,SW,SSE,22,28,76,41,1011.2,1012.4,7,7,16.2,21.4,Yes,No
2010-01-03,Melbourne,14.5,21.4,0,6,6.5,SSE,44,SSW,SSE,24,28,57,56,1019.3,1019.5,7,7,16.5,19.2,No,No
2010-01-04,Melbourne,13.4,27.6,0,5.2,13.8,SSE,33,SE,SSE,9,9,57,42,1018.7,1014.9,1,4,17.5,25.4,No,No
2010-01-05,Melbourne,16,25,0,6.4,13.9,SSW,41,ENE,S,6,28,71,57,1013.9,1014.5,2,5,19.3,23,No,No
2010-01-06,Melbourne,16.1,23.6,0,8,9.4,SSE,39,SSW,SSE,15,24,68,49,1018.2,1017.8,7,5,17.8,21.6,No,No
2010-01-07,Melbourne,14.8,24.7,0,6.2,13,SSE,35,SE,S,17,22,51,44,1018.9,1017,3,0,18,23.7,No,No
2010-01-08,Melbourne,14.8,36.6,0,6.6,11.3,N,57,NNE,N,9,26,58,20,1017,1013.3,1,6,20.8,34.4,No,No
2010-01-09,Melbourne,20.6,38.7,0,12.6,13.7,NA,NA,N,S,35,30,28,47,1013.4,1014.5,6,1,30.8,26.4,No,No
2010-01-10,Melbourne,17.1,29.6,0,11.4,13.2,S,30,S,S,6,9,63,44,1017.5,1014.6,1,1,20.6,28.8,No,No
2010-01-11,Melbourne,19,43.6,0,8.4,11.7,N,59,N,NNW,35,28,63,14,1011.7,1005.9,0,4,24.4,41.5,No,No
2010-01-12,Melbourne,24.2,35.6,0,19.4,2.7,WSW,65,WSW,WNW,20,30,39,39,1004.4,1004.3,7,7,30.8,33.5,No,No
2010-01-13,Melbourne,17.4,23,0.2,7.6,5.7,S,48,S,SSE,15,30,52,39,1015.6,1016.9,7,6,18.3,21.5,No,No
